NO,name,sex,age,Email,address
A001,郭大豪,男,20,A001@gcloud.csu.edu.tw,高雄市鳥松區澄清路 800 號
A002,張彥宏,男,21,A002@gcloud.csu.edu.tw,台南市鳥松區澄清路 801 號
A003,林郁評,男,20,A003@gcloud.csu.edu.tw,高雄市鳥松區澄清路 802 號
A004,劉姵君,女,25,A004@gcloud.csu.edu.tw,新北市鳥松區澄清路 803 號
A005,陸美女,女,40,A005@gcloud.csu.edu.tw,高雄市鳥松區澄清路 804 號
A006,郭大瑋,男,30,A006@gcloud.csu.edu.tw,台中市鳥松區澄清路 805 號
A007,李真樺,男,20,A007@gcloud.csu.edu.tw,高雄市鳥松區澄清路 806 號
A008,陳大志,男,30,A008@gcloud.csu.edu.tw,高雄市鳥松區澄清路 807 號
A009,劉飛翔,男,20,A009@gcloud.csu.edu.tw,高雄市鳥松區澄清路 808 號
A010,郭珊姍,女,30,A010@gcloud.csu.edu.tw,高雄市鳥松區澄清路 809 號
A011,許真人,男,30,A011@gcloud.csu.edu.tw,高雄市鳥松區澄清路 810 號
A012,孫美麗,女,40,A012@gcloud.csu.edu.tw,高雄市鳥松區澄清路 811 號
A013,鄭明明,女,40,A013@gcloud.csu.edu.tw,台南市鳥松區澄清路 812 號
A014,林惠容,女,40,A014@gcloud.csu.edu.tw,高雄市鳥松區澄清路 813 號
A015,林秀氣,女,20,A015@gcloud.csu.edu.tw,高雄市鳥松區澄清路 814 號
A016,陳立人,男,40,A016@gcloud.csu.edu.tw,高雄市鳥松區澄清路 815 號
A017,張婉瑜,女,20,A017@gcloud.csu.edu.tw,高雄市鳥松區澄清路 816 號
A018,郭鴻偉,女,18,A018@gcloud.csu.edu.tw,高雄市鳥松區澄清路 817 號
A019,林克強,男,40,A019@gcloud.csu.edu.tw,高雄市鳥松區澄清路 818 號
